what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.dltk.ui,3.0.1.v20110823,"org.eclipse.dltk.ui",1343397401021
started,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1343397401022
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1343397401059
started,bundle,org.eclipse.cdt.codan.core,2.0.0.201202111925,"org.eclipse.cdt.codan.core",1343397401092
started,bundle,org.eclipse.equinox.p2.operations,2.1.1.R37x_v20111111,"org.eclipse.equinox.p2.operations",1343397401093
started,bundle,org.eclipse.equinox.p2.engine,2.1.1.R37x_v20111003,"org.eclipse.equinox.p2.engine",1343397401128
started,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1343397401207
started,bundle,org.eclipse.equinox.p2.metadata,2.1.0.v20110815-1419,"org.eclipse.equinox.p2.metadata",1343397401222
started,bundle,org.eclipse.equinox.p2.repository,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.repository",1343397401310
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.2.0.v20110815-1419,"org.eclipse.equinox.p2.metadata.repository",1343397401326
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.100.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk.scheduler",1343397401436
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.200.v20110815-1419,"org.eclipse.equinox.p2.updatechecker",1343397401453
started,bundle,org.eclipse.jgit,2.0.0.201206130900-r,"org.eclipse.jgit",1343397402113
started,bundle,org.eclipse.egit.core,2.0.0.201206130900-r,"org.eclipse.egit.core",1343397402213
started,bundle,org.eclipse.egit.ui,2.0.0.201206130900-r,"org.eclipse.egit.ui",1343397402597
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1343397403429
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1343397403480
started,bundle,org.eclipse.php.core,3.0.1.v201201110400,"org.eclipse.php.core",1343397410244
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343397497554
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1343397497564
error,log,,,"Core exception while retrieving the content description",1343397509874
error,log,,,"Core exception while retrieving the content description",1343397509875
error,log,,,"Core exception while retrieving the content description",1343397509877
error,log,,,"Core exception while retrieving the content description",1343397509878
error,log,,,"Core exception while retrieving the content description",1343397509879
error,log,,,"Core exception while retrieving the content description",1343397509880
error,log,,,"Core exception while retrieving the content description",1343397509881
error,log,,,"Core exception while retrieving the content description",1343397509882
error,log,,,"Core exception while retrieving the content description",1343397509915
error,log,,,"Core exception while retrieving the content description",1343397509916
error,log,,,"Core exception while retrieving the content description",1343397509916
error,log,,,"Core exception while retrieving the content description",1343397509917
error,log,,,"Core exception while retrieving the content description",1343397509918
error,log,,,"Core exception while retrieving the content description",1343397509919
error,log,,,"Core exception while retrieving the content description",1343397509923
error,log,,,"Core exception while retrieving the content description",1343397509924
error,log,,,"Core exception while retrieving the content description",1343397509925
error,log,,,"Core exception while retrieving the content description",1343397509926
error,log,,,"Core exception while retrieving the content description",1343397509927
error,log,,,"Core exception while retrieving the content description",1343397509928
error,log,,,"Core exception while retrieving the content description",1343397509951
error,log,,,"Core exception while retrieving the content description",1343397509952
error,log,,,"Core exception while retrieving the content description",1343397509953
error,log,,,"Core exception while retrieving the content description",1343397509954
error,log,,,"Core exception while retrieving the content description",1343397509955
error,log,,,"Core exception while retrieving the content description",1343397509956
error,log,,,"Core exception while retrieving the content description",1343397509957
error,log,,,"Core exception while retrieving the content description",1343397509958
error,log,,,"Core exception while retrieving the content description",1343397509959
error,log,,,"Core exception while retrieving the content description",1343397509960
error,log,,,"Core exception while retrieving the content description",1343397509961
error,log,,,"Core exception while retrieving the content description",1343397509962
error,log,,,"Core exception while retrieving the content description",1343397509963
error,log,,,"Core exception while retrieving the content description",1343397509964
error,log,,,"Core exception while retrieving the content description",1343397509965
error,log,,,"Core exception while retrieving the content description",1343397509966
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1343397518272
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343397518478
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343397523713
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.properties",1343397523784
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1343397531223
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.closeProject",1343397533545
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.garbagecollector",1343397533682
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343397533928
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343397543026
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343397565752
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343397574513
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343397579216
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343397584278
opened,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1343397584622
opened,view,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui.views.tasks",1343397585123
activated,perspective,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.JavaPerspective",1343397585157
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1343397585185
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.perspectives.showPerspective",1343397585340
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.perspectives.showPerspective",1343397585340
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343397591887
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343397598650
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.perspectives.showPerspective",1343397598689
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.perspectives.showPerspective",1343397598689
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343397602912
started,bundle,org.eclipse.cdt.managedbuilder.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.ui",1343397608909
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.gnu.ui",1343397608973
started,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1343397609074
started,bundle,org.eclipse.linuxtools.cdt.autotools.ui,1.0.1.201202152032,"org.eclipse.linuxtools.cdt.autotools.ui",1343397609209
started,bundle,de.innot.avreclipse.ui,2.4.0.201203041437,"de.innot.avreclipse.ui",1343397609301
started,bundle,de.innot.avreclipse.core,2.4.0.201203041437,"de.innot.avreclipse.core",1343397609319
activated,perspective,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.CPerspective",1343397638522
