what,kind,bundleId,bundleVersion,description,time
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1343605190259
java.specification.version,sysinfo,,,"1.6",1343605190259
java.vendor,sysinfo,,,"Apple Inc.",1343605190259
java.version,sysinfo,,,"1.6.0_33",1343605190259
java.vm.info,sysinfo,,,"mixed mode",1343605190259
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1343605190259
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1343605190259
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1343605190259
java.vm.specification.version,sysinfo,,,"1.0",1343605190259
java.vm.vendor,sysinfo,,,"Apple Inc.",1343605190259
java.vm.version,sysinfo,,,"20.8-b03-424",1343605190259
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1343605190499
started,bundle,org.eclipse.cdt.codan.core,2.0.0.201202111925,"org.eclipse.cdt.codan.core",1343605190502
started,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1343605190525
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1343605239537
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1343605239537
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343605239646
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1343605240437
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343605241138
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343605247925
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1343605249412
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343605252150
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343605259072
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343605278295
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343605300827
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1343605304209
started,bundle,org.eclipse.php.core,3.0.1.v201201110400,"org.eclipse.php.core",1343605304601
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343605315730
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1343605340028
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1343605355056
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1343605355109
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1343605359560
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1343605376889
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1343605379589
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1343605379642
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1343605381628
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1343605381696
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1343605390969
