date,open,high,low,close,volume,adj.close,sma 8,sma 25,sma 89,stddev,-3s,-2s,+2s,+3s,RCI
2016-01-04,2232,2248,2086,2124,372700,2124,2124.0,2124.0,2124.0,0.0,2124.0,2124.0,2124.0,2124.0,100.0
2016-01-05,2050,2185,2030,2090,397400,2090,2107.0,2107.0,2107.0,24.0,2034.9,2058.9,2155.1,2179.1,99.9
2016-01-06,2062,2151,2015,2055,172200,2055,2089.7,2089.7,2089.7,34.5,1986.2,2020.7,2158.7,2193.2,99.7
2016-01-07,2036,2201,2036,2135,240700,2135,2101.0,2101.0,2101.0,36.2,1992.5,2028.7,2173.3,2209.5,99.7
2016-01-08,2115,2148,2030,2073,169800,2073,2095.4,2095.4,2095.4,33.7,1994.2,2028.0,2162.8,2196.6,99.1
2016-01-12,2022,2074,1905,1909,207600,1909,2064.3,2064.3,2064.3,81.9,1818.7,1900.6,2228.0,2309.9,97.9
2016-01-13,1940,2010,1938,1986,141300,1986,2053.1,2053.1,2053.1,80.4,1812.0,1892.3,2213.9,2294.2,96.4
2016-01-14,1930,1934,1820,1894,158300,1894,2033.2,2033.2,2033.2,93.3,1753.3,1846.6,2219.8,2313.1,94.2
2016-01-15,1960,2037,1863,1882,193900,1882,2003.0,2016.4,2016.4,100.8,1714.1,1814.8,2218.0,2318.7,91.5
2016-01-18,1810,1852,1784,1810,142200,1810,1968.0,1995.8,1995.8,115.3,1649.9,1765.2,2226.4,2341.7,88.0
2016-01-19,1804,1828,1749,1798,105400,1798,1935.9,1977.8,1977.8,124.6,1604.1,1728.7,2226.9,2351.5,83.8
2016-01-20,1768,1793,1661,1670,216200,1670,1877.8,1952.2,1952.2,148.3,1507.2,1655.5,2248.9,2397.2,78.7
2016-01-21,1650,1737,1597,1607,202000,1607,1819.5,1925.6,1925.6,171.3,1411.8,1583.1,2268.1,2439.4,72.7
2016-01-22,1711,1780,1664,1771,275100,1771,1802.2,1914.6,1914.6,169.7,1405.6,1575.3,2253.9,2423.6,65.9
2016-01-25,1800,1819,1749,1777,152800,1777,1776.1,1905.4,1905.4,167.3,1403.5,1570.8,2240.0,2407.3,58.3
2016-01-26,1743,1768,1705,1726,93600,1726,1755.1,1894.2,1894.2,167.7,1391.0,1558.7,2229.7,2397.4,49.6
2016-01-27,1778,1824,1758,1824,74400,1824,1747.9,1890.1,1890.1,163.3,1400.2,1563.5,2216.7,2380.0,41.3
2016-01-28,1809,1858,1787,1842,107100,1842,1751.9,1887.4,1887.4,158.8,1410.9,1569.7,2205.1,2363.9,32.3
2016-01-29,1842,2060,1805,2034,456400,2034,1781.4,1895.1,1895.1,158.0,1421.2,1579.1,2211.1,2369.0,26.2
2016-02-01,2100,2160,2095,2143,315600,2143,1840.5,1907.5,1907.5,163.5,1417.1,1580.6,2234.4,2397.9,26.2
2016-02-05,1830,1856,1735,1800,187000,1800,1864.6,1902.4,1902.4,161.0,1419.3,1580.3,2224.5,2385.5,13.5
2016-02-08,1763,1877,1763,1858,64900,1858,1875.5,1900.4,1900.4,157.4,1428.1,1585.5,2215.3,2372.7,1.3
2016-02-09,1750,1790,1680,1720,200700,1720,1868.4,1892.5,1892.5,158.3,1417.5,1575.8,2209.2,2367.5,-16.5
2016-02-10,1750,1759,1620,1683,146200,1683,1863.0,1883.8,1883.8,160.7,1401.8,1562.5,2205.1,2365.8,-36.0
2016-02-12,1600,1616,1542,1582,167500,1582,1832.8,1871.7,1871.7,168.5,1366.3,1534.8,2208.6,2377.1,-59.1
2016-02-15,1720,1819,1684,1786,193700,1786,1825.8,1858.2,1868.4,160.8,1375.9,1536.7,2179.7,2340.5,-55.7
2016-02-16,1831,1890,1745,1750,449700,1750,1790.2,1844.6,1864.0,154.6,1380.8,1535.4,2153.8,2308.4,-53.5
2016-02-17,1730,1762,1610,1631,303300,1631,1726.2,1827.6,1855.7,153.8,1366.2,1520.0,2135.2,2289.0,-53.6
2016-02-18,1695,1712,1642,1655,162500,1655,1708.1,1808.4,1848.8,143.5,1378.0,1521.5,2095.3,2238.8,-53.2
2016-02-19,1628,1707,1625,1698,109700,1698,1688.1,1793.4,1843.8,133.9,1391.6,1525.5,2061.3,2195.2,-50.6
2016-02-22,1704,1789,1704,1785,162800,1785,1696.2,1788.5,1841.9,131.7,1393.3,1525.0,2052.0,2183.7,-43.8
2016-02-23,1850,1850,1685,1718,157300,1718,1700.6,1777.8,1838.0,125.8,1400.5,1526.3,2029.3,2155.1,-40.9
2016-02-24,1680,1789,1672,1758,146900,1758,1722.6,1772.3,1835.6,123.5,1401.9,1525.4,2019.2,2142.7,-34.7
2016-02-25,1732,1778,1705,1745,110000,1745,1717.5,1766.8,1832.9,121.4,1402.6,1524.0,2009.6,2131.0,-28.0
2016-02-26,1769,1789,1712,1721,75200,1721,1713.9,1763.3,1829.7,121.4,1399.1,1520.5,2006.1,2127.5,-23.9
2016-02-29,1726,1822,1721,1773,129000,1773,1731.6,1762.3,1828.1,121.2,1398.7,1519.9,2004.7,2125.9,-15.2
2016-03-01,1770,1831,1761,1824,76500,1824,1752.8,1768.4,1828.0,120.2,1407.7,1528.0,2008.8,2129.1,-18.4
2016-03-02,1845,1883,1842,1861,105300,1861,1773.1,1778.6,1828.9,116.7,1428.5,1545.2,2012.0,2128.7,-20.3
2016-03-03,1855,1864,1826,1840,101800,1840,1780.0,1781.4,1829.2,117.3,1429.4,1546.8,2016.0,2133.4,-13.4
2016-03-04,1848,1907,1829,1903,97900,1903,1803.1,1786.4,1831.0,119.8,1427.0,1546.8,2026.0,2145.8,-2.9
2016-03-08,1871,1875,1803,1841,71000,1841,1813.5,1791.0,1831.3,119.6,1432.2,1551.8,2030.2,2149.8,-2.2
2016-03-09,1801,1831,1801,1822,42100,1822,1823.1,1790.9,1831.0,119.6,1432.2,1551.8,2030.0,2149.6,5.1
2016-03-10,1869,1899,1845,1876,118000,1876,1842.5,1792.3,1832.1,120.4,1431.2,1551.6,2033.0,2153.4,20.5
2016-03-11,1876,1903,1861,1876,104800,1876,1855.4,1786.0,1833.1,110.9,1453.2,1564.1,2007.9,2118.8,41.3
