date,open,high,low,close,volume,adj.close
2017/01/04,837,865,834,856,84200,856
2017/01/05,852,891,852,880,228800,880
2017/01/06,873,888,862,865,89000,865
2017/01/10,871,883,862,870,67200,870
2017/01/11,860,866,834,834,87300,834
2017/01/12,840,840,814,814,85400,814
2017/01/13,812,837,812,825,75700,825
2017/01/16,834,846,825,844,54900,844
2017/01/17,843,865,831,847,85700,847
2017/01/18,836,840,816,829,80700,829
2017/01/19,843,849,832,837,44200,837
2017/01/20,837,853,837,845,47900,845
2017/01/23,850,850,833,845,35200,845
2017/01/24,849,854,836,853,87900,853
2017/01/25,853,877,851,871,172500,871
2017/01/26,870,878,860,861,78200,861
2017/01/27,865,865,842,856,86900,856
2017/01/30,870,885,870,875,131800,875
2017/01/31,873,880,856,859,82800,859
2017/02/01,856,872,856,872,40800,872
2017/02/06,916,933,905,910,105300,910
2017/02/07,915,915,895,910,76000,910
2017/02/08,898,918,898,904,59200,904
2017/02/09,899,909,896,896,63600,896
2017/02/10,883,896,880,882,96900,882
2017/02/13,747,777,744,760,940600,760
2017/02/14,760,760,751,754,189300,754
2017/02/15,762,785,762,777,190700,777
2017/02/16,790,816,787,810,249600,810
2017/02/17,800,814,795,800,142500,800
2017/02/20,800,810,791,797,57300,797
2017/02/21,797,805,797,798,44400,798
2017/02/22,800,803,795,795,37700,795
2017/02/23,795,798,785,787,56100,787
2017/02/24,783,787,770,773,100900,773
2017/02/27,779,793,773,777,62400,777
2017/02/28,778,783,773,773,48300,773
2017/03/01,780,780,766,773,51300,773
2017/03/02,774,828,774,788,232700,788
2017/03/03,797,797,774,776,101000,776
2017/03/09,748,759,747,749,81300,749
2017/03/10,753,764,751,763,68400,763
2017/03/13,753,758,748,754,101300,754
2017/03/14,751,763,751,751,28900,751
2017/03/15,750,752,744,744,57500,744
2017/03/16,744,759,743,753,49100,753
2017/03/17,750,758,745,745,50800,745
2017/03/21,732,736,722,722,131300,722
2017/03/22,716,716,702,702,95200,702
2017/03/23,701,721,700,713,73600,713
2017/03/24,710,718,703,706,35100,706
2017/03/27,705,705,690,691,85700,691
2017/03/28,690,700,689,697,44600,697
2017/03/29,689,718,689,713,77200,713
2017/03/30,718,718,699,708,56200,708
2017/03/31,708,732,705,732,64800,732
2017/04/03,722,730,705,720,57200,720
2017/04/04,709,712,696,697,81300,697
