date,open,high,low,close,volume,adj.close
2018/01/04,6410,6430,6080,6350,298100,6350
2018/01/05,6350,6680,6220,6680,322200,6680
2018/01/09,6690,6780,6520,6590,271800,6590
2018/01/10,6490,6730,6430,6670,207300,6670
2018/01/11,6670,7030,6650,6950,437300,6950
2018/01/12,6950,7070,6770,6830,347700,6830
2018/01/15,6950,6990,6670,6720,201700,6720
2018/01/16,6750,6750,6530,6710,186900,6710
2018/01/17,6660,6660,6500,6530,167600,6530
2018/01/18,6530,6680,6470,6520,178600,6520
2018/01/19,6500,6830,6470,6800,217000,6800
2018/01/22,6900,7450,6850,7420,629200,7420
2018/01/23,7350,7460,7070,7150,412400,7150
2018/01/24,7100,7250,6930,6950,264500,6950
