みずがほしい,水がほしい,要求
みずがのみたい,水が飲みたい,要求
みずをいつのめますか,水をいつ飲めますか,質問
こおりでいいからほしい,氷でいいからほしい,要求
こおりをくちにいれたい,氷を口に入れたい,要求
おなかがすいた,おなかが空いた,状態説明
なにかたべたい,何か食べたい,要求
はなせない,話せない,状態説明
しゃべれない,しゃべれない,状態説明
こえがでない,声が出ない,状態説明
いきがもれる,息が漏れる,状態説明
ことばがでない,言葉がでない,状態説明
うまくかいわできない,うまく会話できない,状態説明
ろれつがまわらない,ろれつが回らない,状態説明
きこえない,聞こえない,状態説明
みみなりがする,耳鳴りがする,状態説明
みながなにをいっているかわからない,皆がなにをいっているかわからない,状態説明
あたまがぼんやりする,あたまがぼんやりする,状態説明
かんがえがまとまらない,考えがまとまらない,状態説明
おもいだせない,おもいだせない,状態説明
きおくがない,記憶がない,状態説明
てのかんかくがない,手の感覚がない,状態説明
あしのかんかくがない,足の感覚がない,状態説明
からだがういているよう,体が浮いているよう,状態説明
こわい,こわい,感情説明
あのひとがこわい,あの人がこわい,感情説明
かんごしがこわい,看護師がこわい,感情説明
いしがこわい,医師がこわい,感情説明
ふあんだ,不安だ,感情説明
ねむれない,眠れない,状態説明
へんなものがみえる,変な物が見える,状態説明
げんかくがみえる,幻覚が見える,状態説明
へんなこえがきこえる,へんな声が聞こえる,状態説明
へんなおとがきこえる,へんな音が聞こえる,状態説明
げんちょうがある,幻聴がある,状態説明
ころされる,殺される,状態説明
ぼうりょくをふるわれる,暴力をふるわれる,状態説明
わるぐちをいわれている,悪口を言われている,状態説明
かんがえをぬきとられる,考えを抜き取られる,状態説明
かんしされている,監視されている,状態説明
わらわれている,笑われている,状態説明
ばかにされている,馬鹿にされている,状態説明
いきがくるしい,息がくるしい,状態説明
いきができない,息ができない,状態説明
さんそますくがくるしい,酸素マスクがくるしい,状態説明
ちゅーぶがいたい,チューブが痛い,状態説明
てんてきのはりがいたい,点滴の針がいたい,状態説明
てんてきがはずれている,点滴がはずれている,状態説明
てんてきがおかしい,点滴がおかしい,状態説明
こうそくべるとがくるしい,拘束ベルトがくるしい,状態説明
こうそくべるとをはずしてほしい,拘束ベルトをはずしてほしい,要求
あつい,暑い,状態説明
さむい,寒い,状態説明
きぶんがわるい,気分が悪い,状態説明
はきけがする,吐き気がする,状態説明
あせをかいた,汗をかいた,状態説明
あせがきもちわるい,汗が気持ち悪い,状態説明
きがえたい,着替えたい,状態説明
きがえさせてください,着替えさせてください,要求
ぱじゃまをもってきてください,パジャマを持ってきてください,要求
ぱじゃまをかってきてください,パジャマを買ってきてください,要求
たおるをください,タオルをください,要求
てぃっしゅをください,ティッシュをください,要求
しっきんした,失禁した,状態説明
おなかがいたい,おなかが痛い,状態説明
いがいたい,胃が痛い,状態説明
のどがいたい,喉が痛い,状態説明
せなかがいたい,背中が痛い,状態説明
