date,open,high,low,close,volume,adj.close
2018/01/04,1385,1398,1360,1376,743200,1376
2018/01/05,1379,1383,1359,1366,734900,1366
2018/01/09,1379,1415,1370,1409,821800,1409
2018/01/10,1410,1415,1375,1383,636800,1383
2018/01/11,1373,1374,1355,1364,464400,1364
2018/01/12,1365,1377,1347,1349,489300,1349
2018/01/15,1353,1366,1349,1361,401400,1361
2018/01/16,1367,1368,1349,1360,342800,1360
2018/01/17,1349,1355,1339,1348,477500,1348
2018/01/18,1359,1359,1301,1301,939300,1301
2018/01/19,1308,1314,1290,1299,584100,1299
2018/01/22,1300,1301,1272,1291,927100,1291
2018/01/23,1306,1311,1298,1303,414600,1303
2018/01/24,1296,1318,1293,1299,410600,1299
2018/01/25,1295,1311,1285,1294,455300,1294
2018/01/26,1295,1300,1282,1291,404000,1291
2018/01/29,1289,1323,1289,1316,479900,1316
2018/01/30,1322,1322,1265,1279,643600,1279
2018/01/31,1267,1301,1266,1284,434900,1284
